Data Set,MRR,Accuracy,Number of Training Labels,Number of Testing Labels,Average Number of Training Tuples in Semantic Label,Average Number of Testing Tuples in Semantic Labels
orgSeaBodyOfWater,0.5833333333, 50.0%,6,6,71,33
orgSkiResort,0.5859375, 50.0%,44,32,34,21
orgComment,0.6992753623, 63.35403726708074%,179,161,15794,7432
orgMountain,0.5169082126, 44.927536231884055%,46,69,517,117
orgPark,0.487745098, 38.23529411764706%,77,34,173,187
orgLakeBodyOfWater,0.5735294118, 41.17647058823529%,27,17,217,139
orgStadiumOrArena,0.6493055556, 58.333333333333336%,68,48,180,111
orgCity,0.6764507422, 61.943319838056674%,314,247,6442,3517
orgSportsTeam,0.6193693694, 55.85585585585585%,102,111,1838,3893
orgHospital,0.5906862745, 52.94117647058824%,154,102,1711,826
orgCanal,0.3974358974, 30.76923076923077%,14,13,38,14
orgRiverBodyOfWater,0.5043859649, 31.57894736842105%,18,19,484,196
orgRestaurant,0.6448475289, 59.93690851735016%,443,317,10035,5311
orgGovernmentOrganization,0.637254902, 56.470588235294116%,116,85,702,361
orgCollegeOrUniversity,0.6285240464, 59.70149253731343%,213,201,12615,5961
orgTvEpisode,0.7351598174, 68.4931506849315%,178,146,46058,23630
orgRadioStation,0.6515151515, 58.18181818181818%,52,55,1519,627
orgShoppingCenter,0.7052469136, 66.66666666666666%,71,54,141,54
orgEducationalOrganization,0.510523322, 45.73378839590443%,331,293,2009,629
orgLanguage,0.6698113208, 50.943396226415096%,69,53,445,286
orgSculpture,0.3171296296, 25.0%,23,36,29,8
orgSchool,0.6281702899, 59.78260869565217%,125,184,5965,1730
orgLibrary,0.6388888889, 56.86274509803921%,57,51,1150,515
orgMuseum,0.5319444444, 43.333333333333336%,74,60,156,87
orgLandmarksOrHistoricalBuildings,0.6655701754, 63.1578947368421%,141,76,625,484
orgPainting,0.6035353535, 57.57575757575758%,50,33,282,191
,,,,,,
Total Training Labels:1647,1647,,,,,
Total Testing Labels:1454,1454,,,,,
Number of Labels Which are present only in Testing or Training Set:438,438,,,,,
,,,,,,
Total Accuracy:,56.2125449461,80.4459058579,,,,
Total MRR:,0.6200892263,0.8874111565,,,,
